sequence,commit,parents,author_time,commit_time,subject
1,aa6bb71790442c107104e6fcc461936e49f23379,,2026-08-20T23:04:47+08:00,2026-08-20T23:04:47+08:00,Initial commit
2,a928ac7902c407d3804baff95afb02fd31d2f43e,aa6bb71790442c107104e6fcc461936e49f23379,2026-08-21T13:24:30+08:00,2026-08-21T13:24:30+08:00,update: 完成了实验计划定义
3,ea4249da39c8ab66f0ae8fe99ed9eec33054c5b9,a928ac7902c407d3804baff95afb02fd31d2f43e,2026-08-21T22:42:05+08:00,2026-08-21T22:42:05+08:00,feat: 优化实验计划，并制定代码重构方案
4,f86f11c4150b67bd5f527d9395bc6315eda34e1b,ea4249da39c8ab66f0ae8fe99ed9eec33054c5b9,2026-08-22T00:26:31+08:00,2026-08-22T00:26:31+08:00,update: 优化了 src\algorithms 下的所有注释，使其更加自然和人类可读
5,438a06046d7783c346f6531e3c42796c0818bc3e,f86f11c4150b67bd5f527d9395bc6315eda34e1b,2026-08-22T00:51:25+08:00,2026-08-22T00:51:25+08:00,update: 更新了符合当前项目研究阶段的 README
6,1ee5af5bee9f27550717fdb88fc8bc136e18bd74,438a06046d7783c346f6531e3c42796c0818bc3e,2026-08-22T21:13:51+08:00,2026-08-22T21:13:51+08:00,feat: 完成阶段0，保存统一的 PassTrace 来保存更多运行时数据，并将已有报告字段重新标注来源，以及定位关键代码逻辑试事实
7,82723ef04ea59aa0940cc55da28abc3465f892f8,1ee5af5bee9f27550717fdb88fc8bc136e18bd74,2026-08-22T22:57:16+08:00,2026-08-22T22:57:16+08:00,feat: 完成阶段1，为策略类型建立四种预设，并规范化每种策略在具体 Pass 的对应实现
8,d9a0722aff10a5f923bddd92cb25fe2f8f6b151c,82723ef04ea59aa0940cc55da28abc3465f892f8,2026-08-23T19:15:54+08:00,2026-08-23T19:15:54+08:00,feat: 完成阶段2，拆分 Q_s 和 Q_m 的全量评分刷新语义，补齐相关独立计时和计数
9,819f56daf6aff7a5321c0b45640165e744c445f7,d9a0722aff10a5f923bddd92cb25fe2f8f6b151c,2026-08-23T20:14:50+08:00,2026-08-23T20:14:50+08:00,update: 完善了实验基础设施，增加了算法预热、算法顺序切换、以及独立的数据统计类
10,1fa0fb43b56d94c87f4ecd648b75f3f103db7a8a,819f56daf6aff7a5321c0b45640165e744c445f7,2026-08-23T20:56:20+08:00,2026-08-23T20:56:20+08:00,update: 重构了 main 入口，收缩 main.cpp 职责，并将实验覆盖配置和命令行解析模块分离出来
11,8a17c4547eda759b90f8f3d631195b2bf268807c,1fa0fb43b56d94c87f4ecd648b75f3f103db7a8a,2026-08-29T01:35:04+08:00,2026-08-29T01:35:04+08:00,feat: 完成阶段3: 对拓扑修改的串行与并行辅助进行拆分
12,94d4f83f0e72ea9ab9bed93d2772978475b3147f,8a17c4547eda759b90f8f3d631195b2bf268807c,2026-08-30T01:29:54+08:00,2026-08-30T01:29:54+08:00,feat: 完成阶段 4: 新增增统一结果检查其，对预算、队列、网格、渲染数据等进行核对，并新增对比配置
13,a932342ffa8464588ca1750431c17c967234734b,94d4f83f0e72ea9ab9bed93d2772978475b3147f,2026-08-31T03:20:28+08:00,2026-08-31T03:20:28+08:00,feat: 完成项目实验说明
14,7d771ccee61ab1bb595b0dc2ba18154cf1b75cdb,a932342ffa8464588ca1750431c17c967234734b,2026-08-31T15:31:23+08:00,2026-08-31T15:31:23+08:00,feat: 完成阶段5: 基准和验证矩阵定义，固定实验入口基础设施，如无窗口入口、交替策略、记录格式等
15,d2c106b9ff0ef092d89fe6d1a151b4fd903dcd43,7d771ccee61ab1bb595b0dc2ba18154cf1b75cdb,2026-09-01T02:03:15+08:00,2026-09-01T02:03:15+08:00,feat: 完成第一版正式实验准备与执行计划定义
16,a168701a4b52ea016fc178d10e80a5fbf14e6949,d2c106b9ff0ef092d89fe6d1a151b4fd903dcd43,2026-09-01T02:11:00+08:00,2026-09-01T02:11:00+08:00,update: 完成 Agent 开发工作流 Harness 第一版
17,bb1a89c31a4309ca6752f44c4d6dcf7a777bdf04,a168701a4b52ea016fc178d10e80a5fbf14e6949,2026-09-09T01:35:32+08:00,2026-09-09T01:35:32+08:00,feat: 完成 CPU 并行下限参数化与无窗口配置接入
18,c9a9c12f50528c43068620bd12e0c6afa0ae22a0,bb1a89c31a4309ca6752f44c4d6dcf7a777bdf04,2026-09-09T01:40:20+08:00,2026-09-09T01:40:20+08:00,update: 同步 PREP-01 实现记录与架构审查
19,06cb24c7abce24db59996ff3281ad6182dbb5e4b,c9a9c12f50528c43068620bd12e0c6afa0ae22a0,2026-09-09T01:51:33+08:00,2026-09-09T01:51:33+08:00,update: 修订开发规范和 AGENTS.md
20,72f9c5f765f52e55a17f8811cbf1e79ad739dbf1,06cb24c7abce24db59996ff3281ad6182dbb5e4b,2026-09-09T02:49:03+08:00,2026-09-09T02:49:03+08:00,feat: 完成 CPU pilot 最小输入与可追溯准备入口
21,db16eb62e8429e66742c637e1958e9d413af9fd9,72f9c5f765f52e55a17f8811cbf1e79ad739dbf1,2026-09-09T02:50:17+08:00,2026-09-09T02:50:17+08:00,update: 同步 PREP-02 实现记录与注释审查
22,4c78cb68ead110bbdfa7c5dbca984c1f2cfabafa,db16eb62e8429e66742c637e1958e9d413af9fd9,2026-09-09T02:57:57+08:00,2026-09-09T02:57:57+08:00,feat: 优化 prep-01 部分注释
23,4d7ab68cd0d5313d728fa22518718ab5273a6b05,4c78cb68ead110bbdfa7c5dbca984c1f2cfabafa,2026-09-09T07:47:17+08:00,2026-09-09T07:47:17+08:00,feat: 完成 CPU 工作负载发现与确定性目标选择
24,570ecd031ba5abb27f71d1af8e921336ec30e253,4d7ab68cd0d5313d728fa22518718ab5273a6b05,2026-09-09T07:47:58+08:00,2026-09-09T07:47:58+08:00,update: 同步 PREP-03 实现记录与架构审查
25,01ac017ef742b8f52716d74f6d12993ff188f8fc,570ecd031ba5abb27f71d1af8e921336ec30e253,2026-09-09T21:35:45+08:00,2026-09-09T21:35:45+08:00,update: 修缮 p1、p2注释
26,2dac3ea0225de9e014567ea393fa4d1cfe10cf17,01ac017ef742b8f52716d74f6d12993ff188f8fc,2026-09-09T21:58:30+08:00,2026-09-09T21:58:30+08:00,update: 更新关于性能问题的规划规范
27,7522db7b11dc7a972a629279775bdaa0c6b21d02,2dac3ea0225de9e014567ea393fa4d1cfe10cf17,2026-09-10T01:43:25+08:00,2026-09-10T01:43:25+08:00,feat: 接入 CPU 五阶段配对测量与最小分析
28,a738f7842b44ba81d866d5771aff7c6947ebb2dc,7522db7b11dc7a972a629279775bdaa0c6b21d02,2026-09-10T01:44:35+08:00,2026-09-10T01:44:35+08:00,update: 同步 PREP-04 实现记录与问题分析
29,ea90d2ef57969147e18ecef747e328d5c2a98399,a738f7842b44ba81d866d5771aff7c6947ebb2dc,2026-09-10T23:21:49+08:00,2026-09-10T23:21:49+08:00,feat: 补齐普通运行性能对照与诊断探针
30,662a73070d5fe68aed9cf02fee2a53a79e4adefb,ea90d2ef57969147e18ecef747e328d5c2a98399,2026-09-10T23:22:37+08:00,2026-09-10T23:22:37+08:00,update: 暂时关闭性能调查并明确后续验收门槛
31,ec8792e2206ced20ce6c29ec04b21fb4a8eae0c0,662a73070d5fe68aed9cf02fee2a53a79e4adefb,2026-09-11T02:55:02+08:00,2026-09-11T02:55:28+08:00,fix: 按全局优先级连续前缀安排细分拓扑
32,2faaa3a2c20bec3c1f35b1102fd6b03e7563e816,ec8792e2206ced20ce6c29ec04b21fb4a8eae0c0,2026-09-11T03:02:38+08:00,2026-09-11T03:02:38+08:00,update: 归档拓扑修复与 PREP-04 阶段移交
33,2e1f2f061405c14b01a80aab456cc863289b71bf,2faaa3a2c20bec3c1f35b1102fd6b03e7563e816,2026-09-11T03:07:22+08:00,2026-09-11T03:07:22+08:00,update: 明确 CPU pilot gate 的采样与投入判断规划
34,bb23e2a122279098c4a0dc34bbd60163816f8b43,2e1f2f061405c14b01a80aab456cc863289b71bf,2026-09-11T19:27:30+08:00,2026-09-11T19:27:30+08:00,update: 归档 PREP-05 探索结论与投入审查
35,c3d27a49e990733b4d8879c31538b6b780f5159b,bb23e2a122279098c4a0dc34bbd60163816f8b43,2026-09-11T19:28:01+08:00,2026-09-11T19:28:01+08:00,update: 记录排序松弛研究契约与离线 Gate 规划
36,3c6b574474ba45c314db65f41d1557fa9e25ef35,c3d27a49e990733b4d8879c31538b6b780f5159b,2026-09-11T20:32:25+08:00,2026-09-11T20:32:25+08:00,feat: 接入拓扑单根依赖观察与严格步进入口
37,a0f3551cf84f5553b6e4f4b76ba0274ee2a5e619,3c6b574474ba45c314db65f41d1557fa9e25ef35,2026-09-11T22:27:56+08:00,2026-09-11T22:27:56+08:00,feat: 接入独立网格质量评价并确定双线性主参考
38,b078d59182b3506259c183605a647d58590b5b61,a0f3551cf84f5553b6e4f4b76ba0274ee2a5e619,2026-09-12T00:21:34+08:00,2026-09-12T00:21:34+08:00,chore: 关闭 GATE-03 并归档排序松弛实现
39,9db18d3ed1a27c27c1233e64c6724fa4306770c8,b078d59182b3506259c183605a647d58590b5b61,2026-09-12T01:31:22+08:00,2026-09-12T01:44:12+08:00,feat: 接入持续串行 CPU CBT 批量更新
40,a3738d6539b5dd1f158e3b0b731f43528ebc6c23,9db18d3ed1a27c27c1233e64c6724fa4306770c8,2026-09-12T02:31:28+08:00,2026-09-12T02:31:28+08:00,feat: 接入 CPU CBT 并行模板填写与三档对照
41,f9f316c0fbb7f0f0494b30d02c3dbbca043af72c,a3738d6539b5dd1f158e3b0b731f43528ebc6c23,2026-09-12T04:03:39+08:00,2026-09-12T04:04:07+08:00,chore: 归档 CPU-CBT 原型并移除活动构建入口
